id_colaborador,nome,departamento,horas_extras,horas_trabalhadas,tickets_fora_horario,horario_ticket,nivel_clima
1331,Ian Caldeira,Comercial,,7.7,2,10h06,2.0
1705,Emanuella Leão,Operações,14.3,7.3,3,07:29,10.0
1086,Valentim Nogueira,Comercial,14.2,7.1,3,05h47,1.0
1803,Olivia Rios,Recursos Humanos,8.4,8.3,3,18:49,2.0
1174,Luiz Henrique Dias,TI,11.0,8.7,2,13h19,10.0
1312,Carlos Eduardo da Luz,ti,11.6,7.4,3,07h21,
1462,Théo Novais,ti,,8.8,2,17:44,5.0
1218,João Pereira,Financeiro,7.4,8.9,2,22h25,10.0
1030,Lara Azevedo,Recursos Humanos,10.1,8.2,5,16:58,3.0
1547,Pedro Lucas Nogueira,Operacoes,20.9,6.7,2,00h33,1.0
1664,Juan Barbosa,Tecnologia da Informação,8.5,9.8,2,10h23,
1054,Júlia Pastor,Comercial,13.2,7.6,0,13:31,3.0
1023,Sra. Sarah Vieira,ti,12.4,12.2,1,07h08,6.0
1256,Luísa Ferreira,Financeiro,7.9,8.4,2,11h06,4.0
1450,Heloísa Camargo,Operacoes,2.9,8.0,4,22h08,1.0
1003,Lucas Gabriel Campos,Operacoes,1.7,7.7,2,07h32,4.0
1833,Luiz Gustavo Costela,Financeiro,2.6,6.7,2,21:06,5.0
1552,Antonella Casa Grande,RH,13.8,9.1,3,18h15,8.0
1638,Maria Helena Gonçalves,Financeiro,8.2,8.1,3,06:51,4.0
1477,Amanda Moura,RH,9.1,5.8,0,23h21,1.0
1956,Sra. Raquel Cirino,RH,5.9,6.0,1,01h18,8.0
1662,Dr. Pedro Miguel Vargas,ti,15.4,7.3,0,13:44,2.0
1518,Maria Sophia Camargo,Comercial,5.9,8.1,0,15h03,9.0
1960,Joana Ramos,Comercial,17.0,8.7,2,22h56,9.0
1953,João Casa Grande,ti,14.7,7.3,5,21:56,1.0
1979,Dante Montenegro,Recursos Humanos,21.6,9.6,0,14h41,9.0
1575,Diego Castro,Financeiro,10.7,9.8,1,17h05,6.0
1539,Sr. João Guilherme Nascimento,Operações,11.8,7.2,3,15h46,5.0
1215,Eloah Jesus,Operações,18.4,8.3,5,14h06,2.0
1737,Yago Cavalcanti,Comercial,13.9,7.2,1,02:17,1.0
1998,Renan Albuquerque,Operações,5.6,8.6,3,11:02,8.0
1713,Helena Barros,ti,18.2,9.8,3,14:47,6.0
1667,Marcelo Lima,Tecnologia da Informação,14.8,10.5,4,11:46,8.0
1039,Joaquim Souza,Operações,11.3,9.6,6,12h42,5.0
1231,Rodrigo da Paz,Comercial,2.4,9.2,4,,5.0
1494,Cauê Macedo,Operações,10.2,8.4,2,16h28,2.0
1704,Isabella Vieira,Recursos Humanos,3.9,7.9,8,06h18,6.0
1967,Luara Dias,Financeiro,25.2,10.3,4,01h44,
1066,Srta. Hadassa Aragão,ti,9.4,8.8,2,10h59,8.0
1294,Felipe Andrade,Financeiro,15.1,7.7,2,10:10,8.0
1067,Dr. João Pedro Brito,ti,3.3,6.4,5,14h39,1.0
1479,Luigi Câmara,ti,9.0,10.7,2,16:20,7.0
1328,Dr. Francisco Barros,Tecnologia da Informação,11.2,7.0,5,14h33,8.0
1626,Pedro Miguel Câmara,Operações,5.6,11.4,2,16:41,
1107,Ana Sophia Peixoto,RH,13.0,8.6,1,21:19,4.0
1983,Pedro Miguel Vieira,Recursos Humanos,13.4,9.9,1,15:28,6.0
1346,Dra. Ana Liz Cavalcante,Operações,18.5,8.5,3,17:15,4.0
1298,Heloísa Cardoso,ti,17.5,7.3,2,08h13,7.0
1643,Sr. Arthur Souza,RH,27.3,7.5,1,,4.0
1307,Dr. Bernardo Barbosa,Comercial,9.3,11.5,3,13:36,10.0
1854,Gabriel Aragão,Comercial,9.6,7.6,5,19h27,3.0
1506,Luiz Gustavo Brito,RH,18.4,10.8,2,17h24,7.0
1296,Mirella Almeida,Recursos Humanos,6.0,9.0,3,19h03,3.0
1880,Pedro Miguel Casa Grande,TI,20.2,8.0,1,14:18,4.0
1666,Bárbara Mendes,Tecnologia da Informação,,8.4,7,16:36,2.0
1100,Eduarda Brito,Comercial,0.0,9.5,2,09:42,9.0
1088,Daniela Macedo,RH,8.8,7.3,1,01:54,7.0
1063,Maria Liz Albuquerque,Operacoes,19.2,6.7,3,02h26,10.0
1843,Marcelo da Cruz,RH,1.7,7.1,4,20:05,6.0
1888,Enrico Correia,Tecnologia da Informação,20.7,6.4,2,04h44,2.0
1139,Bella Sales,Tecnologia da Informação,2.7,9.4,4,19h47,
1757,Ana Beatriz Monteiro,Tecnologia da Informação,13.9,11.0,4,09:20,6.0
1615,Srta. Sarah Gomes,Recursos Humanos,4.8,9.8,2,10:12,6.0
1499,Isabel Azevedo,Operações,10.3,9.9,2,01h59,9.0
1665,Maria Luísa Cunha,Tecnologia da Informação,8.7,8.3,3,04h41,7.0
1584,Heloisa Rocha,Tecnologia da Informação,7.2,5.1,2,10h27,8.0
1109,Antônio Dias,RH,10.1,8.0,5,,10.0
1916,Olivia Cassiano,TI,15.1,10.4,0,15h00,3.0
1650,Sra. Kamilly Cirino,Financeiro,14.6,8.6,1,08h20,
1533,Sr. Pedro Henrique Caldeira,Operações,8.9,8.2,5,11h32,5.0
1445,Dra. Allana Lopes,RH,15.9,6.2,3,15h16,10.0
1605,Dra. Manuela Ribeiro,Operações,10.5,9.7,1,15:22,9.0
1136,Manuela Sales,Tecnologia da Informação,10.6,7.9,5,07h12,1.0
1811,Sophie Macedo,Operações,17.9,7.4,2,04h19,4.0
1514,Otto Cassiano,Financeiro,10.0,9.2,1,19h49,10.0
1753,Melissa Casa Grande,Financeiro,5.3,10.2,1,,3.0
1158,Gael Moreira,Operacoes,5.7,10.4,1,17:33,8.0
1310,Benicio Peixoto,Comercial,19.0,7.3,5,13:54,2.0
1327,Srta. Bárbara Pimenta,RH,15.1,8.8,7,16:41,2.0
1136,Manuela Sales,Tecnologia da Informação,10.6,7.9,5,07h12,1.0
1935,Helena Pires,TI,6.7,7.7,2,,9.0
1254,Bella da Paz,Recursos Humanos,15.0,8.6,3,15:39,2.0
1275,Sra. Camila Azevedo,ti,10.5,10.9,5,19:27,9.0
1901,Marcelo Rezende,Operações,12.3,8.0,2,14h28,2.0
1184,Luiz Henrique Leão,Comercial,15.9,8.4,3,03h29,
1582,Augusto Gonçalves,Comercial,8.5,10.1,1,03:08,8.0
1660,Dra. Valentina Camargo,RH,19.2,9.0,1,15:04,4.0
1896,Sr. Valentim Pereira,TI,20.2,6.4,1,04h53,7.0
1209,Maria Fernanda Porto,Financeiro,21.0,9.8,1,14:34,3.0
1168,Sr. Marcelo Dias,Recursos Humanos,13.2,6.2,2,10h11,8.0
1866,Dr. Dom Almeida,TI,14.9,10.7,1,20h16,7.0
1280,Davi Miguel Pereira,Comercial,8.5,9.4,3,02:53,2.0
1899,Théo Cirino,RH,7.6,7.5,3,10:17,4.0
1541,Diogo Albuquerque,Operacoes,6.9,8.5,3,23:34,3.0
1055,José Pedro Viana,Comercial,15.9,8.7,4,05:24,1.0
1120,Ravy Melo,Tecnologia da Informação,22.7,9.4,4,04:09,2.0
1554,Gustavo Nunes,Operações,6.4,7.5,3,12:24,2.0
1025,Maya Azevedo,Operações,18.9,9.6,3,02:24,10.0
1072,Agatha Alves,Tecnologia da Informação,12.1,9.2,6,21h06,5.0
1538,Sophie Martins,Financeiro,9.7,9.0,2,07h31,10.0
1044,André da Costa,Operacoes,25.9,5.7,2,08:42,
1497,Miguel Fonseca,RH,14.0,8.1,2,08:52,7.0
1198,Murilo Carvalho,Recursos Humanos,12.7,9.9,5,06h17,1.0
1377,Srta. Amanda Aparecida,RH,11.2,10.0,3,08h02,8.0
1314,André Gonçalves,Tecnologia da Informação,17.5,7.5,6,11h46,6.0
1718,Giovanna da Cruz,ti,12.4,8.8,2,04h49,4.0
1208,Maria Helena Fonseca,Operações,12.5,6.6,3,18h37,5.0
1721,Daniela Cirino,ti,0.0,9.9,3,09:29,8.0
1918,Ravi Viana,Tecnologia da Informação,11.4,10.8,5,22:37,3.0
1535,Dra. Sofia Rezende,RH,10.5,8.1,6,11:20,4.0
1695,Bianca Aragão,Operacoes,17.1,11.7,3,21:46,10.0
1604,Vinicius Souza,RH,1.6,10.7,4,09:21,6.0
1590,Isabella Silva,Operações,4.8,7.9,2,21h49,3.0
1290,Marcela Casa Grande,Recursos Humanos,21.1,9.4,6,05h17,1.0
1959,Noah Sá,RH,7.1,8.1,4,21h27,4.0
1332,Arthur Gabriel Farias,Tecnologia da Informação,14.2,11.3,1,08h46,5.0
1210,Nicolas Pires,Financeiro,10.1,11.6,5,17:24,9.0
1342,Otto Aparecida,Tecnologia da Informação,9.4,7.5,3,21h21,
1060,Francisco Porto,Tecnologia da Informação,1.3,6.7,7,01:32,3.0
1344,Esther Cassiano,RH,18.5,7.6,4,01:26,8.0
1890,Caio Leão,TI,10.5,9.2,3,19h24,3.0
1711,Pedro Lucas Camargo,ti,5.7,8.5,3,01h09,8.0
1467,Sofia Dias,Recursos Humanos,6.8,8.3,4,20h12,8.0
1423,Ana Liz Brito,ti,2.4,9.2,2,03:20,9.0
1259,Manuela Andrade,TI,3.8,8.2,5,20h40,4.0
1780,Evelyn Pires,ti,12.1,9.2,3,21:18,5.0
1405,Murilo Sampaio,Financeiro,12.2,7.0,2,18:04,7.0
1788,Brayan Santos,Operações,13.2,10.2,2,05:28,6.0
1767,Camila Costa,ti,17.3,9.6,4,00:16,8.0
1483,Luiza Pereira,TI,16.2,8.5,2,20h23,5.0
1530,Luiz Gustavo Carvalho,RH,7.2,8.3,7,07h44,8.0
1810,Erick Santos,ti,10.4,5.7,3,15h54,5.0
1999,Ana Carolina Duarte,TI,11.8,6.4,5,02:16,
1966,Luiz Henrique Mendonça,ti,17.9,6.4,2,00h41,9.0
1110,Maria Luísa Santos,TI,10.5,10.5,3,15:25,7.0
1995,Manuella Cardoso,Financeiro,3.6,11.1,0,16:32,8.0
1558,Ian Abreu,Recursos Humanos,12.3,7.7,3,01:59,5.0
1793,Bianca da Conceição,Recursos Humanos,11.0,10.9,2,18:56,8.0
1936,Kamilly Cirino,Financeiro,14.9,5.6,4,12h26,7.0
1919,Pedro Lucas Rios,Financeiro,15.4,7.7,3,12h42,2.0
1942,Maria Vitória Araújo,Tecnologia da Informação,,8.7,1,13h17,1.0
1319,Sra. Laura Monteiro,Operações,19.1,12.4,3,04:28,6.0
1516,Alice Abreu,Operacoes,7.8,8.7,2,13:19,4.0
1449,Nicole Cassiano,Operações,14.7,7.7,2,22:13,7.0
1783,Samuel da Cunha,RH,19.1,8.2,2,21h40,5.0
1593,Sr. Luiz Felipe Correia,Comercial,16.7,9.3,4,08:42,4.0
1909,Bruno Nogueira,Recursos Humanos,10.1,6.8,4,10h22,1.0
1743,Catarina Vargas,RH,6.9,8.6,2,15:33,1.0
1137,Matteo Souza,RH,15.6,8.0,0,04h30,4.0
1799,Maysa da Mota,ti,15.9,9.7,1,23h58,6.0
1933,Sr. Danilo Vargas,Operacoes,19.3,8.4,4,03h39,8.0
1822,Maria Luiza Costa,Tecnologia da Informação,12.3,9.3,0,18:35,8.0
1765,Benicio Teixeira,Tecnologia da Informação,9.9,6.1,1,07h22,2.0
1261,Yuri da Costa,RH,17.2,7.3,2,17h13,2.0
1567,Bella Leão,Comercial,2.2,7.9,4,07h22,8.0
1832,Thomas Nogueira,Recursos Humanos,17.6,7.1,1,17h41,6.0
1381,Brenda Mendes,Recursos Humanos,16.4,9.3,4,11h59,8.0
1333,Dr. Breno Machado,Financeiro,11.9,8.0,3,02h37,6.0
1536,Luiza Correia,Comercial,5.9,7.4,1,00h16,3.0
1351,Henry Macedo,ti,15.1,8.2,4,03h45,9.0
1785,Camila Borges,Comercial,,8.1,7,15:54,2.0
1451,Luan Novais,Financeiro,22.9,8.6,4,21h30,6.0
1078,Rodrigo Marques,Recursos Humanos,11.3,10.4,2,10:49,
1029,Calebe Melo,Operacoes,7.3,8.0,6,23h56,1.0
1712,Théo Vasconcelos,Comercial,11.2,9.0,6,07h57,1.0
1277,Sarah Abreu,Comercial,13.4,12.4,5,13h21,4.0
1247,Lucca da Cruz,Financeiro,5.6,7.2,1,18h24,5.0
1657,Danilo Nogueira,Tecnologia da Informação,25.0,10.3,5,11h42,2.0
1306,Yuri Mendonça,Financeiro,7.0,8.6,2,14:58,1.0
1165,Antony Sampaio,Operacoes,13.0,9.2,3,08h02,3.0
1816,Dr. Leonardo Abreu,TI,14.4,8.9,3,04h49,7.0
1178,Dra. Maria Helena Ribeiro,TI,13.1,9.1,1,22:38,8.0
1485,Sr. Ravy Nogueira,Recursos Humanos,5.4,9.0,3,22h07,5.0
1065,Francisco Pastor,Recursos Humanos,14.5,7.7,2,08:25,4.0
1141,Emanuelly Mendes,Comercial,13.8,5.9,2,21h58,10.0
1436,Amanda Moreira,Financeiro,0.0,8.8,6,03:25,3.0
1522,Sarah Lopes,Comercial,7.1,10.8,4,01:35,8.0
1844,Dr. Arthur Miguel Sampaio,Financeiro,22.2,7.9,6,,5.0
1420,Ana Cecília Costa,Operações,10.9,10.6,2,05:28,1.0
1404,João Vitor Cavalcante,Comercial,10.0,9.4,1,22:46,7.0
1679,Otávio Sousa,Comercial,5.9,7.7,3,01:59,4.0
1265,Ágatha das Neves,Tecnologia da Informação,11.5,9.9,5,07:37,6.0
1879,Rodrigo Almeida,Recursos Humanos,6.4,7.6,1,02h46,9.0
1292,Henry Leão,TI,3.5,6.7,0,21:25,10.0
1221,Leandro Duarte,ti,,8.5,2,23:05,4.0
1827,João Felipe Abreu,TI,8.5,9.5,2,,8.0
1235,Apollo Aragão,Recursos Humanos,7.0,11.7,4,23h31,10.0
1525,Ana Julia Jesus,RH,23.8,8.5,3,02h34,6.0
1192,Maria Júlia Pires,Operações,11.9,7.6,1,05:21,2.0
1321,Arthur Rodrigues,TI,11.0,10.5,3,09:29,2.0
1049,Melissa Peixoto,ti,13.9,6.1,6,12:46,1.0
1891,Cecilia Araújo,Comercial,13.3,8.6,3,15:58,3.0
1002,Ravi Lucca da Luz,ti,8.5,7.7,2,18:27,2.0
1817,João Lucas Pires,TI,18.6,6.2,6,06h56,3.0
1370,Srta. Sabrina Martins,ti,9.3,6.6,0,,2.0
1921,Ayla da Mata,Operações,16.3,8.7,2,12h21,5.0
1249,Dr. Luiz Miguel Peixoto,Operações,,8.5,5,19h14,6.0
1548,Ana Júlia Macedo,Comercial,6.5,7.4,2,00h32,5.0
1432,Ágatha Aparecida,Comercial,2.8,8.5,0,08:46,3.0
1938,Dra. Rebeca Sampaio,Financeiro,20.6,7.9,2,14:53,10.0
1507,Sra. Ana Jesus,ti,13.8,9.2,7,11:09,
1033,Dr. Matteo da Rosa,Recursos Humanos,13.8,7.4,0,00h07,
1204,Daniel Barros,Comercial,15.0,8.9,1,07h29,8.0
1889,Nathan Aparecida,Operações,5.6,11.1,2,13h58,2.0
1588,Fernanda da Rosa,Comercial,10.7,7.6,5,12h17,
1730,Dante da Mota,Operações,10.7,10.8,5,02h12,1.0
1077,Bryan Andrade,TI,11.6,8.1,4,20h27,2.0
1084,Davi Luiz da Costa,Tecnologia da Informação,17.9,9.0,4,17h56,6.0
1305,Natália da Costa,Comercial,14.6,9.5,1,12h55,2.0
1082,Antonella Pimenta,Financeiro,15.9,10.6,2,13:08,3.0
1448,Luiz Henrique Montenegro,Tecnologia da Informação,4.2,6.7,7,00:28,4.0
1997,Bento Pacheco,Tecnologia da Informação,7.4,8.6,9,04:28,9.0
1751,Théo Castro,Operacoes,20.5,8.3,1,07:38,1.0
1531,Vicente Silveira,Recursos Humanos,6.6,10.0,2,07:35,7.0
1323,Luiza Costela,Operacoes,9.6,7.1,4,19:32,10.0
1495,Luan Duarte,TI,24.2,9.9,2,16:26,
1910,Augusto Peixoto,TI,15.9,6.1,2,16h23,9.0
1005,Caroline Teixeira,TI,12.7,7.7,1,14:37,4.0
1425,Kaique Souza,RH,11.5,6.6,4,12h55,
1490,Otávio Duarte,ti,20.1,5.0,3,14h33,
1097,Ana Beatriz Nunes,RH,,9.3,2,21h46,9.0
1761,Pedro Henrique Nascimento,Tecnologia da Informação,18.9,8.2,7,23:44,5.0
1422,Marcos Vinicius Silva,Operacoes,14.7,9.1,2,12h08,6.0
1885,Luiz Miguel Pereira,ti,5.8,11.4,5,11:52,2.0
1281,Heloísa Jesus,Tecnologia da Informação,19.2,7.6,1,23:47,2.0
1266,Yasmin Vasconcelos,Operacoes,4.9,8.6,3,01h08,5.0
1442,Antônio Andrade,Recursos Humanos,17.2,9.4,3,16:34,9.0
1745,Allana Santos,RH,9.6,6.7,3,23h03,9.0
1382,Luiz Miguel Leão,Tecnologia da Informação,15.5,9.2,2,23:27,2.0
1692,Dr. Luan Martins,ti,22.9,6.3,2,,9.0
1893,Alice da Rosa,RH,9.3,10.2,1,22h55,1.0
1534,Maria Júlia Rezende,Financeiro,10.9,6.2,1,23h30,2.0
1118,Kevin Ferreira,ti,1.3,10.7,3,,8.0
1388,Maria Júlia Viana,Operações,12.5,8.5,3,00h09,3.0
1250,Pietro Silva,TI,9.4,10.2,5,20:26,5.0
1943,Gustavo Henrique Viana,Financeiro,,10.7,1,18:54,3.0
1453,Alexandre Moreira,Recursos Humanos,18.7,11.4,2,21h49,6.0
1009,Luiz Gustavo Moraes,Comercial,16.4,8.8,1,17h07,8.0
1196,Hellena Sampaio,Operacoes,,7.3,1,14:26,9.0
1618,Danilo Casa Grande,Recursos Humanos,13.1,9.1,3,19h11,8.0
1081,João da Cruz,Operacoes,13.5,11.6,6,01:53,9.0
1398,Alexandre Jesus,Operacoes,15.7,10.3,0,21h22,6.0
1501,Pedro Henrique Brito,Comercial,8.2,6.7,1,11:57,7.0
1634,Ísis Cunha,Operações,17.3,9.6,1,09h55,4.0
1239,Ana Sophia Costa,ti,15.4,10.9,1,18h23,1.0
1309,Dra. Alice Macedo,Financeiro,8.2,9.4,1,19h29,3.0
1211,Isabel Brito,RH,11.6,8.4,2,22h15,4.0
1834,Luísa Pacheco,Recursos Humanos,8.4,7.1,5,20h20,5.0
1380,Dante Castro,Operações,8.8,9.8,0,12h21,8.0
1601,Sra. Maria Luísa Cavalcante,Operacoes,14.9,8.0,2,11:25,8.0
1227,Sr. André Nascimento,Recursos Humanos,10.9,9.3,1,18:09,8.0
1873,Rafaela Sá,ti,4.8,8.9,2,23:39,9.0
1359,Breno Silva,Tecnologia da Informação,19.9,10.6,1,00:16,2.0
1813,Ana Laura Viana,Comercial,11.4,10.0,2,14h13,4.0
1177,Isabella Ferreira,Comercial,13.6,7.9,5,17:04,3.0
1994,Benício Nogueira,Tecnologia da Informação,,8.8,4,18h46,4.0
1756,Josué Silva,ti,5.6,8.4,2,22:42,6.0
1493,Rebeca Sá,Operações,6.0,9.5,3,14h07,9.0
1334,Vitória da Paz,Tecnologia da Informação,17.7,11.1,2,20h44,5.0
1892,Yan Cunha,Financeiro,9.0,7.2,1,01:04,8.0
1007,Isadora Araújo,ti,11.9,6.9,0,10:06,4.0
1155,Marcos Vinicius Macedo,Operações,16.9,8.7,0,17:48,8.0
1842,Dr. Pedro Lucas Sá,Tecnologia da Informação,12.9,8.0,0,23h51,5.0
1750,Carolina Abreu,ti,7.3,7.0,5,09:11,9.0
1941,Matteo Albuquerque,Comercial,16.1,8.2,5,05h47,3.0
1482,Mariah Siqueira,TI,14.9,9.3,4,09h37,6.0
1846,Vinicius da Cruz,ti,17.6,8.8,3,01h55,8.0
1749,Sarah Fernandes,Operações,9.3,10.3,1,06h53,10.0
1903,Maitê Freitas,Operacoes,8.0,7.4,4,03:25,1.0
1591,Felipe Cavalcante,ti,4.8,8.1,4,14:51,4.0
1952,Sr. Asafe Araújo,RH,15.5,9.4,1,21:22,2.0
1580,Dr. Kevin Fonseca,Recursos Humanos,9.5,11.3,2,15:50,5.0
1439,Danilo Silveira,Operacoes,16.1,4.7,2,15:33,6.0
1542,Beatriz Oliveira,ti,4.9,5.0,6,16h02,1.0
1596,Dr. João Guilherme Pastor,Operacoes,21.0,7.5,6,01h50,9.0
1723,Dr. Lucas Macedo,RH,15.0,10.1,2,10:09,
1677,Dr. Lucas Gabriel Mendonça,Operações,17.9,5.3,1,17:43,6.0
1478,Sr. João Vitor Costa,Comercial,12.2,5.6,1,19h54,3.0
1228,Ana Cecília Albuquerque,Operações,6.8,7.0,3,08:42,8.0
1974,Ana Vitória Sousa,Operacoes,13.2,12.1,2,00h36,1.0
1814,Luara Castro,TI,13.7,7.7,2,16:55,8.0
1212,Dra. Stephany Santos,Comercial,11.2,6.9,3,01h20,7.0
1079,Guilherme Aragão,Comercial,13.6,9.0,7,23h28,3.0
1148,Ester da Mota,Comercial,24.5,8.0,3,17:49,10.0
1302,Heloísa Silveira,TI,2.6,7.7,4,08:18,3.0
1355,Sra. Maria Cecília Cassiano,ti,13.0,7.0,5,16:23,7.0
1429,Cecília Silveira,Financeiro,7.5,6.2,2,14:15,9.0
1519,Ana Laura Peixoto,Tecnologia da Informação,19.3,7.6,3,10:44,9.0
1362,Ester Fernandes,ti,12.0,7.8,2,20h50,7.0
1594,Vicente Farias,Operações,16.4,8.2,4,02h28,7.0
1357,Enrico Cunha,Operações,16.8,5.9,4,04:08,6.0
1133,Ana Carolina da Rosa,Operações,17.6,10.4,0,13h16,5.0
1829,Nicolas da Mota,Financeiro,13.4,10.1,2,13:57,5.0
1311,Nina Moraes,Recursos Humanos,13.9,8.5,1,12:33,10.0
1621,Srta. Liz Casa Grande,Tecnologia da Informação,,7.7,3,16:24,3.0
1464,Ana Carolina Siqueira,ti,,10.0,3,07:40,9.0
1993,Luiz Fernando Ramos,Comercial,17.7,12.0,2,20:49,8.0
1000,Maria Cecília Araújo,RH,15.0,8.3,3,00:47,2.0
1316,Luan Cardoso,ti,8.7,7.7,3,04h48,10.0
1722,Pietro Gomes,TI,13.3,7.7,4,05h51,2.0
1559,Bruna Carvalho,Financeiro,2.7,8.0,0,18:42,9.0
1371,João Felipe das Neves,TI,27.9,6.2,6,23:48,10.0
1544,Lunna Duarte,Operacoes,19.5,8.4,3,22:09,2.0
1849,Srta. Emanuella Silva,Operações,8.4,9.0,4,06:21,3.0
1394,Lucas Gabriel Alves,ti,17.0,7.2,1,16h24,8.0
1172,Danilo Alves,RH,,11.3,8,17:48,2.0
1125,Enzo Gabriel Barbosa,RH,3.0,8.1,2,17h47,7.0
1898,Dra. Daniela Souza,Financeiro,21.8,10.5,2,05h04,8.0
1578,Sr. Anthony Gabriel da Mata,Operações,14.5,11.6,1,04:17,3.0
1948,Brenda Rodrigues,ti,7.9,9.1,2,13h34,3.0
1920,Eduardo da Rosa,RH,12.8,6.7,2,12h26,9.0
1090,Lucas Oliveira,Financeiro,11.4,8.6,2,00:42,4.0
1970,Luiz Otávio Pimenta,Operações,8.1,8.1,4,12h52,
1181,Vitor Hugo Melo,Tecnologia da Informação,21.4,8.4,4,03:34,7.0
1363,Davi Rezende,Operacoes,,7.9,1,15h38,2.0
1274,Ana Beatriz Fernandes,Operações,13.3,8.3,6,12h38,6.0
1912,Sabrina da Mota,ti,5.0,7.3,4,08:39,2.0
1069,Pietro Moura,Recursos Humanos,10.2,8.5,1,02:56,6.0
1291,Allana Machado,Tecnologia da Informação,18.9,8.0,3,11:00,6.0
1131,Gabrielly da Costa,RH,10.5,10.8,4,01:16,3.0
1300,Srta. Luna Porto,Comercial,0.0,9.8,2,21:19,9.0
